            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453927.500000000, A.D. 2006-Jul-11 00:00:00.0000,  3.573776136800382E-02, -4.553539115307692E-01, -4.057198012074303E-02,  2.241690541946533E-02,  3.443110566238209E-03, -1.776666400768983E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453928.500000000, A.D. 2006-Jul-12 00:00:00.0000,  5.809423047452128E-02, -4.512201027224335E-01, -4.228667154552235E-02,  2.228449313267724E-02,  4.825148676159619E-03, -1.651605041818382E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453929.500000000, A.D. 2006-Jul-13 00:00:00.0000,  8.028341586094247E-02, -4.457026329092882E-01, -4.387296889518448E-02,  2.208207937225030E-02,  6.210125630098598E-03, -1.519879595835325E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453930.500000000, A.D. 2006-Jul-14 00:00:00.0000,  1.022345093819620E-01, -4.387995105624544E-01, -4.532421145072697E-02,  2.180801990828433E-02,  7.596119191083531E-03, -1.381496219928937E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453931.500000000, A.D. 2006-Jul-15 00:00:00.0000,  1.238749658981175E-01, -4.305107550139620E-01, -4.663374337796437E-02,  2.146048493156951E-02,  8.981023960432339E-03, -1.236459005102409E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453932.500000000, A.D. 2006-Jul-16 00:00:00.0000,  1.451303178398270E-01, -4.208385979347656E-01, -4.779491317095176E-02,  2.103745965499210E-02,  1.036251415363507E-02, -1.084773072513344E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453933.500000000, A.D. 2006-Jul-17 00:00:00.0000,  1.659239914193916E-01, -4.097877238956258E-01, -4.880107643955518E-02,  2.053674711573069E-02,  1.173800257413629E-02, -9.264481823014396E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453934.500000000, A.D. 2006-Jul-18 00:00:00.0000,  1.861771270426143E-01, -3.973655540679917E-01, -4.964560260677280E-02,  1.995597390892335E-02,  1.310459527421925E-02, -7.615029637723457E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453935.500000000, A.D. 2006-Jul-19 00:00:00.0000,  2.058084072951063E-01, -3.835825776320998E-01, -5.032188619865100E-02,  1.929259977502974E-02,  1.445904139681727E-02, -5.899698929284633E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453936.500000000, A.D. 2006-Jul-20 00:00:00.0000,  2.247338969125303E-01, -3.684527359538360E-01, -5.082336354493899E-02,  1.854393219410615E-02,  1.579767772062891E-02, -4.119011622045573E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453937.500000000, A.D. 2006-Jul-21 00:00:00.0000,  2.428669004314577E-01, -3.519938650408709E-01, -5.114353586345718E-02,  1.770714741670114E-02,  1.711636749546160E-02, -2.273756073661925E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453938.500000000, A.D. 2006-Jul-22 00:00:00.0000,  2.601178448065148E-01, -3.342282021483829E-01, -5.127599987637865E-02,  1.677931968854780E-02,  1.841043327159995E-02, -3.650687703201334E-05,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453939.500000000, A.D. 2006-Jul-23 00:00:00.0000,  2.763941962231689E-01, -3.151829626126770E-01, -5.121448730199294E-02,  1.575746080855904E-02,  1.967458361791772E-02,  1.605469502325104E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453940.500000000, A.D. 2006-Jul-24 00:00:00.0000,  2.916004226894054E-01, -2.948909929595154E-01, -5.095291477896689E-02,  1.463857259746182E-02,  2.090283391683605E-02,  3.635720800936744E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453941.500000000, A.D. 2006-Jul-25 00:00:00.0000,  3.056380168072118E-01, -2.733915059430811E-01, -5.048544600676000E-02,  1.341971534260632E-02,  2.208842185644597E-02,  5.722858172564515E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453942.500000000, A.D. 2006-Jul-26 00:00:00.0000,  3.184055964502713E-01, -2.507309022604542E-01, -4.980656811659943E-02,  1.209809580844673E-02,  2.322371885655240E-02,  7.863212525362210E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453943.500000000, A.D. 2006-Jul-27 00:00:00.0000,  3.297991049301525E-01, -2.269636820444388E-01, -4.891118450711587E-02,  1.067117893254906E-02,  2.430013952083702E-02,  1.005209615051301E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453944.500000000, A.D. 2006-Jul-28 00:00:00.0000,  3.397121366024730E-01, -2.021534465945701E-01, -4.779472656376728E-02,  9.136827812404961E-03,  2.530805236491288E-02,  1.228360132418351E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453945.500000000, A.D. 2006-Jul-29 00:00:00.0000,  3.480364186638126E-01, -1.763739868262393E-01, -4.645328679644909E-02,  7.493476946119945E-03,  2.623669659760073E-02,  1.455037333797819E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453946.500000000, A.D. 2006-Jul-30 00:00:00.0000,  3.546624849332054E-01, -1.497104491980500E-01, -4.488377592518439E-02,  5.740343794618287E-03,  2.707411169492517E-02,  1.684335881345091E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453947.500000000, A.D. 2006-Jul-31 00:00:00.0000,  3.594805823601981E-01, -1.222605619574429E-01, -4.308410625081491E-02,  3.877683403097151E-03,  2.780708894985743E-02,  1.915153245529650E-03,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
