            JDTDB             Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,             X_s,             Y_s,             Z_s,            VX_s,            VY_s,            VZ_s,
********************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2453927.500000000, A.D. 2006-Jul-11 00:00:00.0000, -1.585326959135369E+00,  4.993955592632112E-01,  4.930394222445422E-02, -3.651637169308094E-03, -1.215701883375466E-02, -1.651999117494007E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453928.500000000, A.D. 2006-Jul-12 00:00:00.0000, -1.588927628299667E+00,  4.872227601900324E-01,  4.913715970374135E-02, -3.549658021711122E-03, -1.218845058336964E-02, -1.683634868877808E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453929.500000000, A.D. 2006-Jul-13 00:00:00.0000, -1.592426189625588E+00,  4.750189157801638E-01,  4.896721853676017E-02, -3.447422279367120E-03, -1.221910920831478E-02, -1.715171687780977E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453930.500000000, A.D. 2006-Jul-14 00:00:00.0000, -1.595822388821697E+00,  4.627848001060517E-01,  4.879412869778237E-02, -3.344934526995532E-03, -1.224899282510112E-02, -1.746608073169644E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453931.500000000, A.D. 2006-Jul-15 00:00:00.0000, -1.599115976190201E+00,  4.505211891154998E-01,  4.861790031303568E-02, -3.242199369164153E-03, -1.227809955210555E-02, -1.777942469735301E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453932.500000000, A.D. 2006-Jul-16 00:00:00.0000, -1.602306706636817E+00,  4.382288606247788E-01,  4.843854366082832E-02, -3.139221426073644E-03, -1.230642751645206E-02, -1.809173294635973E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453933.500000000, A.D. 2006-Jul-17 00:00:00.0000, -1.605394339681734E+00,  4.259085943119326E-01,  4.825606917207997E-02, -3.036005324561228E-03, -1.233397486279195E-02, -1.840298988680323E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453934.500000000, A.D. 2006-Jul-18 00:00:00.0000, -1.608378639470390E+00,  4.135611717112361E-01,  4.807048743067078E-02, -2.932555693501549E-03, -1.236073975106167E-02, -1.871318038512207E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453935.500000000, A.D. 2006-Jul-19 00:00:00.0000, -1.611259374783435E+00,  4.011873762081438E-01,  4.788180917322282E-02, -2.828877167602418E-03, -1.238672034452106E-02, -1.902228951842340E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
2453936.500000000, A.D. 2006-Jul-20 00:00:00.0000, -1.614036319046899E+00,  3.887879930335117E-01,  4.769004528872580E-02, -2.724974392077718E-03, -1.241191480089549E-02, -1.933030231402427E-04,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,            n.a.,
