Earth,x,y,z
,0.145031908688193,-1.003465181252204,-0.000100273915582
,0.145199470901865,-1.003441744163881,-0.000100269057170
,0.145367033114590,-1.003418307076315,-0.000100264198733
,0.145534595326369,-1.003394869989506,-0.000100259340272
,0.145702157537202,-1.003371432903455,-0.000100254481787
,0.145869719747089,-1.003347995818160,-0.000100249623277
,0.146037281956030,-1.003324558733623,-0.000100244764744
,0.146204844164026,-1.003301121649842,-0.000100239906186
,0.146372406371075,-1.003277684566819,-0.000100235047603
,0.146539968577178,-1.003254247484552,-0.000100230188997
,0.146707530782336,-1.003230810403042,-0.000100225330366
,0.146875092986548,-1.003207373322289,-0.000100220471710
,0.147042655189814,-1.003183936242293,-0.000100215613031
,0.147210217392135,-1.003160499163053,-0.000100210754327
,0.147377779593510,-1.003137062084570,-0.000100205895599
,0.147545341793939,-1.003113625006843,-0.000100201036847
,0.147712903993423,-1.003090187929873,-0.000100196178071
,0.147880466191962,-1.003066750853659,-0.000100191319270
,0.148048028389555,-1.003043313778202,-0.000100186460445
,0.148215590586203,-1.003019876703502,-0.000100181601596
,0.148383152781905,-1.002996439629558,-0.000100176742722
,0.148550714976663,-1.002973002556370,-0.000100171883824
,0.148718277170474,-1.002949565483938,-0.000100167024902
,0.148885839363341,-1.002926128412262,-0.000100162165956
,0.149053401555263,-1.002902691341343,-0.000100157306986
,0.149220963746239,-1.002879254271180,-0.000100152447991
,0.149388525936271,-1.002855817201773,-0.000100147588972
,0.149556088125357,-1.002832380133121,-0.000100142729929
,0.149723650313499,-1.002808943065226,-0.000100137870862
,0.149891212500696,-1.002785505998087,-0.000100133011770
,0.150058774686948,-1.002762068931703,-0.000100128152654
,0.150226336872255,-1.002738631866076,-0.000100123293514
,0.150393899056617,-1.002715194801204,-0.000100118434350
,0.150561461240034,-1.002691757737088,-0.000100113575162
,0.150729023422507,-1.002668320673727,-0.000100108715949
,0.150896585604035,-1.002644883611123,-0.000100103856712
,0.151064147784619,-1.002621446549273,-0.000100098997451
,0.151231709964258,-1.002598009488180,-0.000100094138166
,0.151399272142953,-1.002574572427841,-0.000100089278856
,0.151566834320703,-1.002551135368259,-0.000100084419523
,0.151734396497509,-1.002527698309431,-0.000100079560165
,0.151901958673371,-1.002504261251359,-0.000100074700783
,0.152069520848288,-1.002480824194043,-0.000100069841377
